,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,result
4574,33,2234,216,49.0,1,0.0,0.0,0.0,-999.0,0.0,27,72,1
3567,186,20,34,68.0,0,0.0,0.0,0.0,-999.0,0.0,56,51,1
3551,0,1217,242,38.0,0,600.0,0.0,663.0,101.0,177.0,58,18,0
3276,30,1815,37,47.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
2594,0,1456,213,29.0,0,725.0,0.0,643.0,52.0,70.0,56,38,0
2019,0,205,83,43.0,1,0.0,0.0,0.0,-999.0,378.0,16,20,1
2329,121,1902,300,35.0,1,927.36,0.0,425.0,111.0,0.0,56,38,0
4155,0,803,34,54.0,1,600.0,0.0,807.0,43.0,319.0,56,51,0
2505,152,968,167,28.0,1,925.0,0.0,735.0,73.0,0.0,56,38,0
4978,0,886,28,34.0,0,2479.82,0.0,661.0,17.0,725.0,21,19,0
2039,0,2026,26,57.0,1,2000.0,0.0,750.0,61.0,529.0,56,26,0
4955,30,911,167,41.0,1,0.0,0.0,0.0,-999.0,1.0,56,38,1
2831,0,3150,259,68.0,1,0.0,0.0,0.0,-999.0,730.0,21,19,1
4217,152,2478,160,41.0,0,500.0,0.0,0.0,17.0,0.0,56,26,0
3184,124,3206,267,43.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
2938,152,3564,316,32.0,0,600.0,0.0,485.0,62.0,0.0,58,2,0
4701,0,1447,285,41.0,0,484.12,0.0,746.0,36.0,52.0,77,54,0
381,30,3395,300,54.0,0,497.29,0.0,858.0,59.0,0.0,56,38,0
850,0,2729,146,36.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
2520,0,1451,219,38.0,1,15500.0,0.0,633.0,169.0,407.0,56,38,0
1862,0,31,146,72.0,0,0.0,0.0,0.0,-999.0,538.0,56,38,1
291,35,3564,100,26.0,0,569.92,0.0,618.0,13.0,215.0,56,26,0
3161,0,3564,17,31.0,1,530.4,0.0,881.0,73.0,255.0,55,61,0
4926,0,2751,35,68.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
4048,180,449,35,57.0,0,4000.0,0.0,0.0,154.0,0.0,56,38,0
1305,0,2274,311,30.0,0,1079.4,0.0,708.0,76.0,74.0,56,2,0
752,33,3522,265,51.0,1,0.0,0.0,0.0,-999.0,153.0,56,38,1
1407,156,1624,239,40.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
4789,60,1340,144,48.0,1,651.04,0.0,455.0,109.0,1.0,56,51,0
3734,0,1907,24,59.0,1,3531.0,0.0,936.0,99.0,432.0,16,7,0
3230,0,2064,316,57.0,0,478.54,0.0,638.0,0.0,642.0,58,2,0
2811,0,2688,249,28.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
1908,30,2285,173,29.0,1,1425.35,0.0,0.0,98.0,0.0,56,10,0
3821,180,1815,144,45.0,1,2810.9,0.0,566.0,78.0,325.0,56,51,0
1167,0,2059,213,78.0,0,0.0,0.0,0.0,-999.0,569.0,56,38,1
1682,0,783,146,27.0,1,1383.55,0.0,598.0,60.0,0.0,56,38,0
2369,30,2464,8,32.0,1,700.0,0.0,879.0,47.0,246.0,56,51,0
3509,0,1282,80,42.0,1,0.0,0.0,0.0,-999.0,0.0,63,72,1
